102,lodnix,abc,c,070,3014,length,147,20,1020,https://atcoder.jp/contests/abc070/submissions/1505237
103,Naoki_M_,abc,c,070,3014,length,126,2,1020,https://atcoder.jp/contests/abc070/submissions/1505564
104,hamukichi,abc,c,070,3014,length,155,3,1020,https://atcoder.jp/contests/abc070/submissions/1506218
105,matatabity,abc,c,070,3014,length,139,2,1020,https://atcoder.jp/contests/abc070/submissions/1506354
106,kantohm11,abc,c,070,3014,length,265,3,1020,https://atcoder.jp/contests/abc070/submissions/1506503
107,aimy,abc,c,070,3014,length,87,2,1020,https://atcoder.jp/contests/abc070/submissions/1506656
108,kimiyuki,abc,c,070,3014,length,178,2,1020,https://atcoder.jp/contests/abc070/submissions/1507327
109,b1464296,abc,c,070,3014,length,305,3,1020,https://atcoder.jp/contests/abc070/submissions/1507400
110,iyou1993,abc,c,070,3014,length,224,2,1020,https://atcoder.jp/contests/abc070/submissions/1508107
111,neetsdkasu,abc,c,070,3014,length,125,2,1020,https://atcoder.jp/contests/abc070/submissions/1508820
112,kuretchi,abc,c,070,3014,length,67,2,1020,https://atcoder.jp/contests/abc070/submissions/1510202
113,pochiMasahiro,abc,c,070,3014,length,105,2,1020,https://atcoder.jp/contests/abc070/submissions/1511857
114,fromT,abc,c,070,3014,length,149,3,1020,https://atcoder.jp/contests/abc070/submissions/1512010
115,jasy,abc,c,070,3014,length,55,2,1020,https://atcoder.jp/contests/abc070/submissions/1512568
116,nmjiri,abc,c,070,3014,length,229,3,1020,https://atcoder.jp/contests/abc070/submissions/1514947
117,Gash788,abc,c,070,3014,length,142,2,1020,https://atcoder.jp/contests/abc070/submissions/1517284
118,Gash788,abc,c,070,3014,length,74,3,1020,https://atcoder.jp/contests/abc070/submissions/1520168
119,hsanno,abc,c,070,3014,length,132,2,1020,https://atcoder.jp/contests/abc070/submissions/1520628
120,lodnix,abc,c,073,3014,length,278,861,60924,https://atcoder.jp/contests/abc073/submissions/1577895
121,stczhc,abc,c,073,3014,length,715,128,17020,https://atcoder.jp/contests/abc073/submissions/1578261
122,lrmystp,abc,c,073,3014,length,917,255,30972,https://atcoder.jp/contests/abc073/submissions/1578401
123,aimy,abc,c,073,3014,length,209,673,43516,https://atcoder.jp/contests/abc073/submissions/1578444
124,refle,abc,c,073,3014,length,245,782,61052,https://atcoder.jp/contests/abc073/submissions/1578819
125,hsanno,abc,c,073,3014,length,115,460,61692,https://atcoder.jp/contests/abc073/submissions/1578918
126,skeletont,abc,c,073,3014,length,365,719,16636,https://atcoder.jp/contests/abc073/submissions/1579410
127,ak464tnok,abc,c,073,3014,length,428,842,63356,https://atcoder.jp/contests/abc073/submissions/1580219
128,hillpeople,abc,c,073,3014,length,171,839,50556,https://atcoder.jp/contests/abc073/submissions/1581695
129,REDRUM,abc,c,073,3014,length,191,741,17660,https://atcoder.jp/contests/abc073/submissions/1581714
130,nmjiri,abc,c,073,3014,length,267,862,60924,https://atcoder.jp/contests/abc073/submissions/1584658
131,Gash788,abc,c,073,3014,length,284,752,67964,https://atcoder.jp/contests/abc073/submissions/1585673
132,ishiy1993,abc,c,073,3014,length,229,859,60924,https://atcoder.jp/contests/abc073/submissions/1586363
133,ria10,abc,c,073,3014,length,3753,126,18172,https://atcoder.jp/contests/abc073/submissions/1591579
134,fromT,abc,c,073,3014,length,242,846,60924,https://atcoder.jp/contests/abc073/submissions/1592336
135,refle,abc,c,073,3014,length,247,785,61052,https://atcoder.jp/contests/abc073/submissions/1603529
136,aimy,abc,c,073,3014,length,211,674,43516,https://atcoder.jp/contests/abc073/submissions/1605186
137,Lithium,abc,c,073,3014,length,301,857,60924,https://atcoder.jp/contests/abc073/submissions/1610254
138,hsanno,abc,c,073,3014,length,115,560,61692,https://atcoder.jp/contests/abc073/submissions/1727838
139,Gash788,abc,c,073,3014,length,346,761,70012,https://atcoder.jp/contests/abc073/submissions/1778186
140,skeletont,abc,c,075,3014,length,1117,102,1404,https://atcoder.jp/contests/abc075/submissions/1684621
141,lrmystp,abc,c,075,3014,length,1374,117,2300,https://atcoder.jp/contests/abc075/submissions/1684852
142,pekempey,abc,c,075,3014,length,746,752,10508,https://atcoder.jp/contests/abc075/submissions/1686864
143,jasy,abc,c,075,3014,length,555,2,1020,https://atcoder.jp/contests/abc075/submissions/1687805
144,jasy,abc,c,075,3014,length,526,2,1020,https://atcoder.jp/contests/abc075/submissions/1687806
145,amanuko,abc,c,075,3014,length,1274,7,1148,https://atcoder.jp/contests/abc075/submissions/1884504
146,eliza0x,abc,c,075,3014,length,1156,177,1404,https://atcoder.jp/contests/abc075/submissions/2075058
147,Lithium,abc,c,075,3014,length,2151,627,1276,https://atcoder.jp/contests/abc075/submissions/2136871
148,Lithium,abc,c,075,3014,length,2113,1172,1020,https://atcoder.jp/contests/abc075/submissions/2136881
149,Lithium,abc,c,075,3014,length,2792,148,2172,https://atcoder.jp/contests/abc075/submissions/2136957
150,Lithium,abc,c,075,3014,length,3001,152,1788,https://atcoder.jp/contests/abc075/submissions/2137116
151,Lithium,abc,c,075,3014,length,3154,90,1532,https://atcoder.jp/contests/abc075/submissions/2137159
152,Lithium,abc,c,075,3014,length,4041,94,1404,https://atcoder.jp/contests/abc075/submissions/2137188
153,proton06,abc,c,075,3014,length,819,2,892,https://atcoder.jp/contests/abc075/submissions/2382170
154,proton06,abc,c,075,3014,length,850,2,892,https://atcoder.jp/contests/abc075/submissions/2383289
155,d_nishiyama,abc,c,075,3014,length,1689,3,1020,https://atcoder.jp/contests/abc075/submissions/2409760
